id,name,location,link
66,Milan Placko,Szlovákia,rozhodca.php?meno=Milan Placko&mesto=Szlovákia
67,Ivan Despotov,Bulgária,rozhodca.php?meno=Ivan Despotov&mesto=Bulgária
68,Martin Pastor,Németország,rozhodca.php?meno=Martin Pastor&mesto=Németország
69,Novák Zsuzsanna,Budapest,rozhodca.php?meno=Novák Zsuzsanna&mesto=Budapest
70,Kiss Noel Attila,Debrecen,rozhodca.php?meno=Kiss Noel Attila&mesto=Debrecen
71,Dr. Arnold Péter,Budapest,rozhodca.php?meno=Dr. Arnold Péter&mesto=Budapest
72,Markó Ágnes,Hódmezővásárhely,rozhodca.php?meno=Markó Ágnes&mesto=Hódmezővásárhely
73,Futó Károly,-,rozhodca.php?meno=Futó Károly&mesto=-
74,Józsa János,-,rozhodca.php?meno=Józsa János&mesto=-
75,Juhász Ágnes,-,rozhodca.php?meno=Juhász Ágnes&mesto=-
76,Fabio Pilon,Italy,rozhodca.php?meno=Fabio Pilon&mesto=Italy
77,Ludwig Wieshofer,Austria,rozhodca.php?meno=Ludwig Wieshofer&mesto=Austria
78,Noemi Katalin Toth,Romania,rozhodca.php?meno=Noemi Katalin Toth&mesto=Romania
79,Julius Schvarcz,Slovakia,rozhodca.php?meno=Julius Schvarcz&mesto=Slovakia
80,Jaroslav Krticka,Czech Republic,rozhodca.php?meno=Jaroslav Krticka&mesto=Czech Republic
81,Krzysztof Cisek,Poland,rozhodca.php?meno=Krzysztof Cisek&mesto=Poland
82,Mauro Rossi,Spain,rozhodca.php?meno=Mauro Rossi&mesto=Spain
83,Remigijus Suslavicius,Lithuania,rozhodca.php?meno=Remigijus Suslavicius&mesto=Lithuania
84,Agnes Juhasz,Hungary,rozhodca.php?meno=Agnes Juhasz&mesto=Hungary
85,Nadia Chantzidou,Greece,rozhodca.php?meno=Nadia Chantzidou&mesto=Greece
86,Bíró Csaba István,Bocskaikert,rozhodca.php?meno=Bíró Csaba István&mesto=Bocskaikert
87,Elekes Helga,Szombathely,rozhodca.php?meno=Elekes Helga&mesto=Szombathely
88,Pap Balázs Ferenc,Szentes,rozhodca.php?meno=Pap Balázs Ferenc&mesto=Szentes
89,Vidovenyecz Andrea,Szeged,rozhodca.php?meno=Vidovenyecz Andrea&mesto=Szeged
90,Luigi Bodini,Grúzia,rozhodca.php?meno=Luigi Bodini&mesto=Grúzia
91,Ramon Zedan,Románia,rozhodca.php?meno=Ramon Zedan&mesto=Románia
92,Gombkötő Balázs,-,rozhodca.php?meno=Gombkötő Balázs&mesto=-
93,Vas Zsolt,-,rozhodca.php?meno=Vas Zsolt&mesto=-
94,Timerné Kvitová Veronika,Pécs,rozhodca.php?meno=Timerné Kvitová Veronika&mesto=Pécs
95,Molnár Olivér,Budapest,rozhodca.php?meno=Molnár Olivér&mesto=Budapest
96,Kozma Gábor,Budapest,rozhodca.php?meno=Kozma Gábor&mesto=Budapest
97,Prepuk László,Budapest,rozhodca.php?meno=Prepuk László&mesto=Budapest
98,Horváth Kristóf,Budapest,rozhodca.php?meno=Horváth Kristóf&mesto=Budapest
99,Závodszky Péterné,Budapest,rozhodca.php?meno=Závodszky Péterné&mesto=Budapest
100,Klinda Dénes,-,rozhodca.php?meno=Klinda Dénes&mesto=-
101,Jenei Éva Evelin,Gyomaendrőd,rozhodca.php?meno=Jenei Éva Evelin&mesto=Gyomaendrőd
102,Dr. Kisteleki Károly,Budapest,rozhodca.php?meno=Dr. Kisteleki Károly&mesto=Budapest
103,Salamonné Kuzma Renáta,Zalaegerszeg,rozhodca.php?meno=Salamonné Kuzma Renáta&mesto=Zalaegerszeg
104,Benkő Zsófia,Budapest,rozhodca.php?meno=Benkő Zsófia&mesto=Budapest
105,Zsámboki Marcell,Budapest,rozhodca.php?meno=Zsámboki Marcell&mesto=Budapest
106,Debreczeni Attila,Kőszeg,rozhodca.php?meno=Debreczeni Attila&mesto=Kőszeg
107,Bódis-Nagy Katinka,Kaposvár,rozhodca.php?meno=Bódis-Nagy Katinka&mesto=Kaposvár
108,Farkas Ádám,Szombathely,rozhodca.php?meno=Farkas Ádám&mesto=Szombathely
109,Feledi Ildikó,Budapest,rozhodca.php?meno=Feledi Ildikó&mesto=Budapest
110,Balikó Károly Józsefné,Budapest,rozhodca.php?meno=Balikó Károly Józsefné&mesto=Budapest
111,Timer Péter,Pécs,rozhodca.php?meno=Timer Péter&mesto=Pécs
112,Lekszikov Csaba,Nagykanizsa,rozhodca.php?meno=Lekszikov Csaba&mesto=Nagykanizsa
113,Orosz-Szüllő Éva Katalin,Budapest,rozhodca.php?meno=Orosz-Szüllő Éva Katalin&mesto=Budapest
114,Lengyel Zoltán,Szeged,rozhodca.php?meno=Lengyel Zoltán&mesto=Szeged
115,Valc Szabolcs,Budapest,rozhodca.php?meno=Valc Szabolcs&mesto=Budapest
116,Krekuska Ferenc,Budapest,rozhodca.php?meno=Krekuska Ferenc&mesto=Budapest
117,Kovács Sándor,Budapest,rozhodca.php?meno=Kovács Sándor&mesto=Budapest
118,Zsámboki Marcell István,Budapest,rozhodca.php?meno=Zsámboki Marcell István&mesto=Budapest
119,Mantovay Viktória,Érd,rozhodca.php?meno=Mantovay Viktória&mesto=Érd
