id,name,eventId
9250,Döntő,6806
9251,Elődöntő,6807
9252,Döntő,6807
9253,Döntő,6808
9254,Section 1,6810
9255,Döntő,6811
9256,Elődöntő,6812
9257,Döntő,6812
9258,Döntő,6813
9259,Döntő,6814
9260,Elődöntő,6815
9261,Döntő,6815
9262,Döntő,6816
9263,Döntő,6817
9264,Döntő,6819
9265,Döntő,6821
9266,Döntő,6822
9267,Döntő,6823
9268,Döntő,6824
9269,Döntő,6825
9270,Section 1,6826
9271,Döntő,6827
9272,Döntő,6828
9273,Section 1,6829
9274,Döntő,6830
9275,Elődöntő,6831
9276,Döntő,6831
9277,1.Forduló,6832
9278,Elődöntő,6832
9279,Döntő,6832
9280,Döntő,6833
9281,Döntő,6834
9282,Elődöntő,6835
9283,Döntő,6835
9284,Döntő,6836
9285,Döntő,6837
9286,Döntő,6838
9287,Döntő,6840
9288,Döntő,6841
9289,Döntő,6842
9290,Section 1,6843
9291,Elődöntő,6844
9292,Döntő,6844
9293,Döntő,6845
9294,1.Forduló,6846
9295,Elődöntő,6846
9296,Döntő,6846
9297,Elődöntő,6847
9298,Döntő,6847
9299,Döntő,6848
9300,Döntő,6849
9301,Döntő,6850
9302,Döntő,6851
9303,Section 1,6852
9304,Döntő,6853
9305,1.Forduló,6854
9306,Elődöntő,6854
9307,Döntő,6854
9308,1.Forduló,6855
9309,Elődöntő,6855
9310,Döntő,6855
9311,Döntő,6856
9312,Elődöntő,6857
9313,Döntő,6857
9314,Döntő,6858
9315,Döntő,6859
9316,Elődöntő,6860
9317,Döntő,6860
9318,Elődöntő,6861
9319,Döntő,6861
9320,Döntő,6862
9321,Elődöntő,6863
9322,Döntő,6863
9323,Döntő,6864
9324,Döntő,6865
9325,Döntő,6866
9326,6.Forduló,6867
9327,1.Forduló,6868
9328,2.Forduló,6868
9329,Elődöntő,6868
9330,Döntő,6868
9331,Döntő,6869
9332,Elődöntő,6870
9333,Döntő,6870
9334,Döntő,6871
9335,Döntő,6872
9336,Döntő,6873
9337,Döntő,6874
9338,Döntő,6875
9339,Elődöntő,6876
9340,Döntő,6876
9341,Döntő,6877
9342,Döntő,6878
9343,Döntő,6879
9344,Döntő,6880
9345,Elődöntő,6881
9346,Döntő,6881
9347,Elődöntő,6882
9348,Döntő,6882
9349,Döntő,6883
9350,Döntő,6884
9351,Döntő,6885
9352,Döntő,6886
9353,Döntő,6888
9354,Döntő,6889
9355,1.Forduló,6890
9356,Reményfutam után,6890
9357,2.Forduló,6890
9358,3.Forduló,6890
9359,Elődöntő,6890
9360,Döntő,6890
9361,Döntő,6891
9362,Döntő,6892
9363,Döntő,6893
9364,Elődöntő,6894
9365,Döntő,6894
9366,Elődöntő,6895
9367,Döntő,6895
9368,Döntő,6896
9369,Döntő,6897
9370,4.Forduló,6898
9371,Döntő,6899
9372,Döntő,6900
9373,Döntő,6901
9374,Elődöntő,6902
9375,Döntő,6902
9376,Döntő,6903
9377,Döntő,6904
9378,Elődöntő,6905
9379,Döntő,6905
9380,Döntő,6906
9381,Döntő,6907
9382,Döntő,6908
9383,1.Forduló,6909
9384,Reményfutam után,6909
9385,2.Forduló,6909
9386,3.Forduló,6909
9387,Elődöntő,6909
9388,Döntő,6909
9389,Section 1,6910
9390,Döntő,6911
9391,Elődöntő,6912
9392,Döntő,6912
9393,Elődöntő,6913
9394,Döntő,6913
9395,Döntő,6914
9396,1.Forduló,6915
9397,Elődöntő,6915
9398,Döntő,6915
9399,Elődöntő,6916
9400,Döntő,6916
9401,Döntő,6917
9402,Döntő,6918
9403,Döntő,6919
9404,Döntő,6920
9405,Döntő,6921
9406,Döntő,6922
9407,Döntő,6923
9408,Döntő,6924
9409,Elődöntő,6925
9410,Döntő,6925
9411,Elődöntő,6926
9412,Döntő,6926
9413,Döntő,6927
9414,Elődöntő,6928
9415,Döntő,6928
9416,1.Forduló,6929
9417,Elődöntő,6929
9418,Döntő,6929
9419,Döntő,6930
9420,Döntő,6931
9421,Döntő,6932
9422,Döntő,6933
9423,Döntő,6934
9424,Elődöntő,6935
9425,Döntő,6935
9426,5.Forduló,6936
9427,Döntő,6937
9428,1.Forduló,6938
9429,Elődöntő,6938
9430,Döntő,6938
9431,Döntő,6939
9432,Döntő,6940
9433,Elődöntő,6941
9434,Döntő,6941
9435,Döntő,6942
9436,Döntő,6943
9437,Döntő,6944
9438,Döntő,6945
9439,Elődöntő,6946
9440,Döntő,6946
9441,Döntő,6949
9442,Döntő,6950
9443,Döntő,6951
9444,Döntő,6952
9445,Döntő,6953
9446,Döntő,6954
9447,Section 1,6955
9448,Döntő,6956
9449,Döntő,6957
9450,Döntő,6958
9451,Döntő,6960
9452,Elődöntő,6961
9453,Döntő,6961
9454,Elődöntő,6962
9455,Döntő,6962
9456,Döntő,6963
9457,Döntő,6964
9458,Elődöntő,6965
9459,Döntő,6965
9460,Döntő,6966
9461,Döntő,6967
9462,Döntő,6968
9463,Elődöntő,6969
9464,Döntő,6969
9465,Döntő,6970
9466,Döntő,6971
9467,Döntő,6972
9468,Döntő,6973
9469,Döntő,6974
9470,Döntő,6975
