A,B
1075,32
1076,149
1076,92
1076,37
1076,74
1076,164
1076,2
1076,112
1077,24
1077,75
1077,20
1077,32
1077,41
1077,105
1077,17
1078,8
1078,158
1078,100
1078,56
1078,59
1078,25
1078,19
1079,38
1079,50
1079,194
1080,157
1080,73
1080,101
1080,119
1080,3
1082,55
1082,10
1082,123
1082,202
1082,242
1083,156
1083,87
1083,1
1083,113
1083,97
1084,140
1084,174
1084,289
1084,290
1084,291
1084,173
1084,122
1086,108
1086,109
1086,166
1086,53
1086,291
1086,30
1086,122
1087,89
1087,33
1087,287
1087,2
1087,190
1088,56
1088,240
1088,21
1088,153
1088,52
1088,238
1088,61
1089,180
1089,14
1089,117
1089,116
1089,20
1089,42
1089,62
1090,169
1090,23
1090,56
1090,6
1090,26
1090,24
1090,35
1091,98
1091,288
1091,120
1091,32
1091,37
1092,25
1092,88
1092,143
1092,5
1092,144
1093,166
1093,60
1093,100
1093,4
1093,52
1093,291
1093,59
1094,185
1094,186
1094,187
1094,74
1094,188
1095,138
1095,145
1095,146
1095,139
1095,189
1095,59
1095,160
1096,165
1096,111
1096,211
1096,107
1097,19
1097,93
1097,97
1097,177
1097,4
1098,43
1098,14
1098,89
1098,100
1098,132
1099,28
1099,29
1099,18
1099,51
1099,21
1100,29
1100,13
1100,136
1100,137
1100,30
1100,55
1100,138
1101,108
1101,56
1101,120
1102,119
1102,29
1102,115
1102,31
1102,32
1103,334
1103,14
1103,100
1103,59
1103,335
1104,32
1104,16
1104,21
1104,50
1104,1
1105,28
1105,101
1105,195
1105,88
1105,52
1105,183
1105,17
1106,208
1106,35
1106,41
1106,56
1106,58
1107,166
1107,111
1107,75
1107,60
1107,34
1107,31
1107,93
1108,44
1108,259
1108,232
1108,276
1108,131
1108,336
1108,337
1109,286
1109,106
1109,170
1109,109
1109,100
1109,30
1109,111
1110,157
1110,37
1110,18
1110,100
1110,29
1110,109
1110,291
1111,28
1111,101
1111,165
1111,1
1111,167
1111,17
1111,119
1112,183
1112,35
1112,20
1112,103
1112,17
1113,51
1113,280
1113,25
1113,100
1113,155
1114,100
1114,30
1114,190
1114,170
1114,238
1114,191
1114,56
1115,199
1115,325
1115,177
1115,41
1115,11
1116,270
1116,271
1116,46
1116,274
1116,276
1116,278
1116,279
1117,147
1117,170
1117,105
1117,184
1117,20
1117,10
1117,62
1118,41
1118,14
1118,109
1118,330
1118,259
1119,73
1119,35
1119,96
1119,61
1119,8
1120,56
1120,240
1120,21
1120,153
1120,52
1120,238
1120,61
1121,59
1121,60
1121,9
1121,62
1121,55
1122,418
1122,75
1122,20
1122,19
1122,163
1122,232
1122,269
1122,260
1122,233
1122,65
1122,132
1123,110
1123,73
1123,74
1123,39
1123,3
1124,32
1124,54
1124,38
1124,55
1124,95
1125,36
1125,149
1125,37
1125,112
1125,113
1126,56
1126,106
1126,75
1126,116
1126,20
1126,61
1126,196
1127,166
1127,111
1127,75
1127,60
1127,34
1127,31
1127,93
1128,153
1128,240
1128,38
1128,119
1128,401
1129,20
1129,19
1129,9
1129,173
1129,123
1130,256
1130,97
1130,61
1130,58
1130,241
1131,62
1131,160
1131,116
1131,88
1131,121
1132,163
1132,211
1132,18
1132,43
1132,125
1132,65
1132,126
1132,127
1132,128
1132,129
1132,130
1132,131
1132,132
1133,101
1133,30
1133,136
1133,240
1133,109
1133,94
1133,4
1134,110
1134,149
1134,37
1134,38
1134,112
1134,113
1134,194
1135,157
1135,107
1135,7
1135,25
1135,74
1135,33
1135,174
1136,42
1136,141
1136,30
1136,142
1136,6
1137,29
1137,18
1137,13
1137,136
1137,137
1137,55
1137,138
1138,24
1138,1
1138,14
1138,15
1138,17
1139,169
1139,12
1139,25
1139,98
1139,37
1139,153
1139,73
1140,55
1140,30
1140,93
1140,118
1140,98
1141,89
1141,13
1141,10
1141,52
1141,191
1141,75
1141,202
1142,30
1142,165
1142,16
1142,89
1142,153
1142,96
1142,29
1143,153
1143,139
1143,42
1143,69
1143,79
1144,96
1144,100
1144,174
1144,208
1144,8
1145,147
1145,1
1145,50
1145,38
1145,136
1145,75
1145,32
1146,202
1146,25
1146,4
1146,73
1146,123
1147,14
1147,89
1147,51
1147,107
1147,147
1147,100
1147,132
1147,19
1147,419
1148,101
1148,163
1148,170
1148,136
1148,20
1150,36
1150,25
1150,100
1150,105
1150,32
1150,70
1150,16
1151,166
1151,105
1151,10
1151,30
1151,50
1151,122
1151,3
1152,32
1152,55
1152,96
1152,105
1152,160
1152,123
1152,49
1153,149
1153,55
1153,100
1153,19
1153,105
1153,50
1153,30
1154,12
1154,6
1154,414
1154,101
1154,196
1155,16
1155,73
1155,43
1155,55
1155,54
1156,420
1156,421
1156,20
1156,28
1156,163
1157,30
1157,19
1157,109
1157,14
1157,106
1157,4
1157,117
1158,99
1158,224
1158,225
1158,226
1158,227
1159,180
1159,157
1159,218
1159,37
1159,20
1159,113
1159,31
1160,87
1160,98
1160,174
1160,123
1160,97
1161,302
1161,405
1161,306
1161,422
1162,28
1162,122
1162,53
1162,59
1162,210
1163,23
1163,55
1163,15
1163,59
1163,112
1163,96
1163,180
1164,150
1164,16
1164,116
1164,95
1164,151
1165,98
1165,38
1165,49
1165,93
1165,283
1166,60
1166,32
1166,89
1166,41
1166,52
1166,42
1166,31
1167,54
1167,169
1167,117
1167,155
1167,101
1168,305
1168,260
1168,132
1168,166
1168,20
1168,59
1168,30
1168,43
1168,49
1169,18
1169,161
1169,162
1169,163
1169,13
1171,28
1171,1
1171,33
1171,123
1171,190
1172,147
1172,8
1172,112
1172,10
1172,28
1174,163
1174,43
1174,166
1174,97
1174,117
1174,111
1174,25
1175,182
1175,36
1175,255
1175,35
1175,55
1176,153
1176,115
1176,97
1176,73
1176,38
1177,87
1177,118
1177,56
1177,50
1177,100
1178,153
1178,4
1178,73
1178,169
1178,165
1178,96
1178,136
1179,205
1179,73
1179,195
1179,97
1179,4
1180,153
1180,50
1180,61
1180,89
1180,190
1180,53
1180,198
1181,180
1181,20
1181,95
1181,31
1181,122
1182,51
1182,280
1182,25
1182,100
1182,155
1184,105
1184,122
1184,18
1184,1
1184,74
1185,70
1185,215
1185,123
1185,137
1185,93
1186,35
1186,26
1186,96
1186,3
1186,8
1187,420
1187,298
1187,135
1187,299
1187,242
1187,421
1187,20
1187,28
1187,163
1187,21
1187,29
1188,35
1188,55
1188,53
1188,217
1188,62
1189,98
1189,14
1189,75
1189,30
1189,194
1190,1
1190,33
1190,60
1190,50
1190,89
1191,268
1191,7
1191,10
1191,119
1191,217
1192,180
1192,75
1192,211
1192,58
1192,32
1193,110
1193,140
1193,116
1193,12
1193,51
1194,18
1194,38
1194,171
1194,120
1194,17
1195,87
1195,1
1195,56
1195,50
1195,10
1195,16
1195,120
1196,175
1196,13
1196,27
1196,97
1196,11
1197,4
1197,103
1197,11
1197,297
1197,116
1197,119
1197,148
1198,211
1198,191
1198,119
1198,41
1199,35
1199,10
1199,240
1199,4
1199,190
1200,96
1200,21
1200,244
1200,155
1200,240
1201,170
1201,39
1201,25
1201,138
1201,113
1201,42
1201,100
1202,123
1202,55
1202,20
1202,56
1202,12
1203,109
1203,149
1203,37
1203,96
1203,119
1204,35
1204,134
1204,14
1204,21
1204,89
1204,172
1204,50
1205,19
1205,38
1205,160
1205,29
1205,118
1205,30
1205,14
1205,119
1205,88
1206,109
1206,38
1206,41
1206,106
1206,179
1206,29
1206,138
1207,8
1207,33
1207,117
1207,3
1207,120
1208,100
1208,109
1208,4
1208,31
1208,61
1208,111
1208,105
1209,101
1209,16
1209,14
1209,75
1209,170
1209,30
1209,136
1210,7
1210,13
1210,117
1210,95
1210,171
1211,138
1211,108
1211,1
1211,22
1211,10
1211,23
1211,2
1212,183
1212,177
1212,116
1212,199
1212,97
1213,28
1213,29
1213,18
1213,51
1213,13
1214,74
1214,58
1214,30
1214,289
1214,42
1215,42
1215,20
1215,34
1215,32
1215,23
1215,35
1215,25
1216,51
1216,37
1216,164
1216,112
1216,4
1217,103
1217,20
1217,147
1217,106
1217,122
1218,105
1218,96
1218,119
1218,4
1218,211
1218,210
1218,55
1219,157
1219,107
1219,73
1219,115
1219,120
1220,43
1220,270
1220,423
1220,46
1220,48
1220,259
1220,45
1220,251
1220,101
1221,76
1221,63
1221,299
1221,424
1221,425
1221,83
1221,75
1222,28
1222,12
1222,10
1222,58
1222,190
1223,122
1223,123
1223,147
1223,28
1223,138
1223,169
1223,172
1223,33
1223,13
1224,268
1224,7
1224,6
1224,10
1224,119
1225,139
1225,195
1225,10
1225,55
1225,160
1226,56
1226,325
1226,199
1226,94
1226,12
1227,8
1227,116
1227,153
1227,169
1227,55
1227,25
1227,39
1228,234
1228,92
1228,18
1228,63
1228,93
1229,69
1229,62
1229,97
1229,6
1229,55
1230,73
1230,58
1230,97
1230,7
1231,96
1231,56
1231,100
1231,117
1231,58
1232,138
1232,104
1232,268
1232,8
1232,7
1233,206
1233,21
1233,214
1233,29
1233,52
1233,215
1233,216
1234,110
1234,108
1234,35
1234,53
1234,217
1235,8
1235,97
1235,50
1235,108
1235,26
1236,149
1236,112
1236,3
1236,23
1236,89
1237,70
1237,215
1237,123
1237,137
1237,93
1238,153
1238,54
1238,179
1238,23
1238,353
1239,190
1239,69
1239,50
1239,10
1239,89
1239,191
1239,74
1240,185
1240,186
1240,187
1240,74
1240,188
1241,1
1241,28
1241,30
1241,374
1241,348
1241,350
1241,352
1242,180
1242,14
1242,20
1242,56
1242,113
1242,42
1242,62
1243,138
1243,426
1243,427
1243,61
1243,30
1244,98
1244,35
1244,164
1244,50
1244,288
1244,23
1244,120
1244,32
1244,37
1245,28
1245,170
1245,211
1245,51
1245,19
1245,406
1245,234
1245,307
1245,407
1245,270
1245,365
1246,147
1246,36
1246,35
1246,74
1246,50
1246,29
1246,115
1246,93
1246,89
1247,28
1247,43
1247,170
1247,136
1247,18
1247,89
1247,20
1249,75
1249,20
1249,136
1249,29
1249,43
1249,17
1249,347
1249,260
1249,261
1249,251
1249,262
1250,53
1250,163
1250,62
1250,32
1250,166
1250,41
1250,110
1251,107
1251,8
1251,149
1251,14
1251,116
1252,60
1252,117
1252,7
1252,123
1252,56
1252,103
1252,59
1252,106
1252,62
1253,160
1253,163
1253,103
1253,105
1253,106
1254,33
1254,102
1254,69
1254,240
1254,377
1254,165
1254,74
1255,110
1255,92
1255,37
1255,74
1255,164
1255,2
1255,112
1256,111
1256,173
1256,33
1256,30
1256,122
1257,107
1257,177
1257,166
1257,14
1257,31
1258,28
1258,172
1258,153
1258,75
1258,15
1258,155
1258,41
1259,204
1259,8
1259,30
1259,73
1259,239
1260,8
1260,18
1260,164
1260,4
1260,120
1261,89
1261,107
1261,153
1261,96
1261,33
1262,259
1262,375
1262,262
1262,260
1262,341
1262,305
1262,428
1262,46
1262,376
1262,343
1262,233
1262,345
1262,412
1263,169
1263,148
1263,16
1263,107
1263,178
1264,20
1264,14
1264,46
1264,1
1264,38
1264,191
1264,4
1265,119
1265,117
1265,33
1265,167
1265,151
1267,29
1267,147
1267,13
1267,96
1267,109
1267,74
1267,100
1267,61
1267,35
1268,76
1268,159
1268,391
1268,79
1268,80
1268,132
1268,83
1268,28
1268,160
1269,109
1269,103
1269,10
1269,139
1269,138
1270,93
1270,24
1270,165
1270,198
1270,114
1271,157
1271,107
1271,170
1271,52
1271,190
1272,29
1272,109
1272,55
1272,136
1272,429
1272,59
1272,330
1272,50
1272,89
1273,153
1273,24
1273,7
1273,154
1273,107
1273,155
1273,95
1274,163
1274,14
1274,430
1274,211
1274,238
1275,7
1275,109
1275,246
1275,89
1275,55
1275,157
1275,56
1276,30
1276,19
1276,109
1276,14
1276,106
1276,4
1276,117
1277,210
1277,373
1277,329
1277,347
1277,431
1277,349
1277,306
1277,351
1277,432
1278,34
1278,31
1278,153
1278,107
1278,59
1279,36
1279,28
1279,99
1279,245
1279,75
1279,14
1279,50
1280,110
1280,149
1280,37
1280,38
1280,112
1280,113
1280,194
1281,8
1281,139
1281,55
1281,93
1281,137
1281,140
1281,119
1281,50
1281,21
1282,149
1282,100
1282,164
1282,119
1282,333
1283,100
1283,109
1283,4
1283,33
1283,51
1283,111
1283,105
1284,12
1284,14
1284,73
1284,244
1284,74
1285,21
1285,74
1285,16
1285,41
1285,173
1285,42
1285,93
1285,89
1285,105
1286,138
1286,205
1286,112
1286,13
1286,148
1286,110
1286,20
1287,206
1287,74
1287,38
1287,72
1288,65
1288,233
1288,132
1288,372
1288,43
1289,20
1289,122
1289,9
1289,61
1289,123
1290,33
1290,30
1290,1
1290,55
1290,50
1290,105
1290,51
1290,139
1290,109
1291,50
1291,110
1291,38
1291,175
1291,57
1292,8
1292,74
1292,50
1292,59
1292,120
1293,94
1293,114
1293,115
1293,116
1293,117
1294,36
1294,149
1294,92
1294,38
1294,113
1295,386
1295,78
1295,365
1295,366
1295,367
1295,368
1295,369
1295,370
1295,371
1295,259
1295,433
1296,100
1296,13
1296,51
1296,240
1296,33
1296,122
1296,111
1297,7
1297,106
1297,75
1297,116
1297,20
1297,61
1297,196
1298,19
1298,58
1298,59
1298,93
1298,111
1299,10
1299,38
1299,110
1299,30
1299,2
1300,191
1300,152
1300,13
1300,55
1300,338
1300,136
1300,105
1301,211
1301,184
1301,56
1301,36
1301,61
1302,138
1302,8
1302,195
1302,5
1302,41
1303,88
1303,30
1303,49
1303,35
1303,19
1304,87
1304,149
1304,55
1304,100
1304,19
1304,112
1304,30
1305,180
1305,415
1305,18
1305,38
1305,50
1305,213
1305,30
1305,16
1305,115
1306,41
1306,14
1306,109
1306,330
1306,259
1307,35
1307,26
1307,96
1307,3
1307,61
1308,180
1308,87
1308,166
1308,98
1308,20
1308,95
1308,58
1308,31
1308,122
1309,326
1309,327
1309,262
1309,135
1309,328
1309,329
1309,17
1309,211
1309,49
1309,56
1309,43
1310,101
1310,102
1310,103
1310,104
1310,105
1310,106
1310,6
1311,100
1311,190
1311,170
1311,51
1311,56
1312,14
1312,18
1312,96
1312,52
1312,93
1313,170
1313,139
1313,55
1313,74
1313,112
1314,234
1314,132
1314,265
1314,91
1314,41
1315,76
1315,77
1315,63
1315,299
1315,80
1315,83
1315,75
1316,86
1316,36
1316,88
1316,29
1316,89
1317,87
1317,246
1317,20
1317,53
1317,30
1317,115
1317,118
1318,28
1318,17
1318,75
1318,21
1318,101
1319,7
1319,55
1319,56
1319,106
1319,75
1319,61
1319,196
1320,137
1320,4
1320,74
1320,41
1320,170
1320,138
1320,11
1321,28
1321,101
1321,165
1321,1
1321,167
1321,17
1321,119
1322,35
1322,19
1322,5
1322,56
1322,57
1322,58
1322,32
1323,183
1323,35
1323,20
1323,103
1323,17
1324,170
1324,139
1324,25
1324,98
1324,74
1324,38
1324,30
1325,108
1325,35
1325,101
1325,53
1325,52
1325,115
1325,89
1325,31
1325,160
1326,19
1326,93
1326,97
1326,177
1326,4
1327,24
1327,50
1327,122
1327,59
1327,153
1328,36
1328,87
1328,35
1328,37
1328,38
1328,39
1328,41
1329,30
1329,170
1329,101
1329,138
1329,109
1330,138
1330,108
1330,3
1330,10
1330,23
1330,2
1330,16
1331,7
1331,54
1331,116
1331,3
1331,61
1332,21
1332,74
1332,16
1332,41
1332,93
1333,200
1333,201
1333,16
1333,36
1333,170
1334,169
1334,12
1334,39
1334,73
1334,9
1335,4
1335,6
1335,7
1335,8
1335,9
1335,10
1335,11
1336,138
1336,156
1336,1
1336,2
1336,3
1336,4
1336,22
1336,5
1336,89
1337,30
1337,52
1337,53
1337,43
1337,54
1338,277
1338,78
1338,129
1338,355
1338,43
1339,142
1339,22
1339,98
1339,171
1339,160
1340,153
1340,75
1340,15
1340,155
1340,41
1341,165
1341,54
1341,173
1341,174
1341,30
1342,111
1342,173
1342,33
1342,30
1342,122
1343,60
1343,123
1343,56
1343,103
1343,59
1344,33
1344,102
1344,69
1344,240
1344,377
1344,165
1344,74
1345,101
1345,75
1345,20
1345,29
1345,43
1345,17
1345,259
1345,347
1345,260
1345,261
1345,262
1346,53
1346,163
1346,62
1346,32
1346,1
1346,41
1348,65
1348,434
1348,305
1348,435
1348,232
1348,260
1348,253
1348,46
1348,129
1348,163
1348,75
1349,138
1349,426
1349,427
1349,61
1349,30
1350,180
1350,14
1350,117
1350,56
1350,113
1350,42
1350,62
1351,198
1351,197
1351,106
1351,11
1351,162
1352,27
1352,119
1352,179
1352,23
1352,353
1353,190
1353,69
1353,50
1353,10
1353,89
1354,140
1354,106
1354,1
1354,4
1354,23
1354,181
1354,41
1355,36
1355,28
1355,99
1355,245
1355,75
1355,14
1355,50
1356,155
1356,31
1356,153
1356,107
1356,100
1358,210
1358,373
1358,329
1358,347
1358,431
1358,349
1358,306
1358,351
1358,432
1359,1
1359,7
1359,109
1359,16
1359,157
1360,163
1360,14
1360,430
1360,211
1360,238
1361,108
1361,148
1361,99
1361,62
1361,100
1362,153
1362,24
1362,7
1362,154
1362,107
1362,155
1362,95
1363,31
1363,28
1363,53
1364,61
1364,148
1364,106
1364,74
1364,291
1365,157
1365,52
1365,58
1365,41
1365,62
1366,28
1366,73
1366,55
1366,38
1366,30
1367,93
1367,24
1367,165
1367,198
1367,114
1368,109
1368,103
1368,10
1368,139
1368,138
1369,33
1369,102
1369,69
1369,240
1369,377
1369,165
1369,74
1370,32
1370,103
1370,105
1370,137
1370,106
1371,242
1371,29
1371,55
1371,106
1372,377
1372,38
1372,114
1372,436
1372,197
1374,110
1374,18
1374,74
1374,29
1374,62
1374,115
1374,120
1375,255
1375,14
1375,123
1375,211
1375,49
1376,165
1376,163
1376,43
1376,166
1376,155
1376,97
1376,25
1377,205
1377,73
1377,100
1377,116
1377,97
1378,165
1378,169
1378,54
1378,16
1378,35
1379,32
1379,54
1379,38
1379,55
1379,95
1380,8
1380,13
1380,25
1380,117
1380,160
1381,103
1381,30
1381,41
1381,119
1381,14
1382,1
1382,26
1382,164
1382,339
1382,30
1383,41
1383,14
1383,109
1383,330
1383,259
1384,149
1384,55
1384,100
1384,19
1384,105
1384,50
1384,30
1385,88
1385,30
1385,49
1385,35
1385,19
1386,138
1386,8
1386,195
1386,5
1386,41
1387,191
1387,152
1387,13
1387,55
1387,338
1387,136
1387,105
1388,100
1388,13
1388,51
1388,240
1388,33
1388,122
1388,111
1389,19
1389,58
1389,59
1389,60
1389,111
1390,37
1390,10
1390,16
1390,38
1390,58
1390,30
1390,2
1391,36
1391,149
1391,92
1391,112
1391,113
1392,365
1392,366
1392,367
1392,368
1392,369
1392,370
1392,371
1392,259
1392,433
1394,36
1394,87
1394,35
1394,37
1394,40
1394,41
1394,42
1395,8
1395,87
1395,119
1395,59
1395,120
1396,62
1396,160
1396,116
1396,88
1396,121
1397,153
1397,139
1397,95
1397,149
1397,79
1398,183
1398,54
1398,96
1398,122
1398,377
1399,277
1399,78
1399,129
1399,355
1399,43
1400,138
1400,205
1400,112
1400,87
1400,13
1400,148
1400,110
1400,20
1400,98
1402,29
1402,18
1402,136
1402,137
1402,153
1402,30
1402,55
1403,101
1403,170
1403,32
1403,136
1403,35
1403,172
1403,50
1404,8
1404,139
1404,55
1404,93
1404,137
1404,140
1404,119
1404,50
1404,21
1405,100
1405,164
1405,119
1405,97
1405,333
1406,138
1406,156
1406,4
1406,22
1406,5
1407,169
1407,39
1407,73
1407,9
1407,54
1408,30
1408,27
1408,26
1408,100
1408,8
1409,21
1409,74
1409,16
1409,41
1409,173
1409,42
1409,93
1409,89
1409,105
1410,12
1410,14
1410,73
1410,244
1410,74
1411,200
1411,201
1411,16
1411,36
1411,170
1412,7
1412,54
1412,116
1412,3
1412,61
1413,1
1413,22
1413,10
1413,23
1413,24
1414,75
1414,30
1414,101
1414,138
1414,34
1415,166
1415,105
1415,10
1415,30
1415,50
1415,122
1415,59
1415,3
1415,153
1416,36
1416,87
1416,35
1416,37
1416,38
1416,39
1416,41
1417,118
1417,19
1417,196
1417,113
1417,139
1418,16
1418,50
1418,51
1418,33
1418,170
1419,43
1419,44
1419,45
1419,46
1419,47
1419,48
1419,49
1420,35
1420,101
1420,53
1420,52
1420,160
1421,183
1421,35
1421,20
1421,103
1421,17
1422,19
1422,5
1422,56
1422,57
1422,58
1422,30
1422,32
1423,137
1423,4
1423,74
1423,41
1423,170
1423,138
1423,11
1424,28
1424,101
1424,165
1424,1
1424,167
1424,17
1424,119
1425,7
1425,55
1425,56
1425,106
1425,75
1425,61
1425,196
1426,44
1426,259
1426,232
1426,276
1426,131
1426,336
1426,337
1427,28
1427,17
1427,75
1427,21
1427,101
1428,140
1428,73
1428,54
1428,74
1428,38
1428,174
1428,3
1428,41
1428,32
1429,77
1429,63
1429,299
1429,80
1429,82
1429,83
1429,75
1430,268
1430,8
1430,7
1430,13
1430,119
1431,234
1431,18
1431,265
1431,41
1431,93
1432,190
1432,35
1432,18
1432,379
1432,242
1433,55
1433,19
1433,20
1433,29
1433,213
1433,49
1433,62
1434,25
1434,18
1434,75
1434,52
1434,100
1435,28
1435,165
1435,54
1435,89
1435,62
1436,43
1436,55
1436,34
1436,54
1436,29
1437,108
1437,75
1437,118
1437,22
1437,112
1437,170
1437,5
1438,12
1438,6
1438,414
1438,55
1438,196
1439,149
1439,55
1439,100
1439,19
1439,112
1439,105
1439,30
1440,89
1440,33
1440,287
1440,2
1440,190
1441,32
1441,55
1441,96
1441,105
1441,160
1441,123
1441,49
1442,36
1442,25
1442,100
1442,105
1442,32
1442,70
1442,16
1443,18
1443,53
1443,364
1443,110
1443,163
1443,62
1443,58
1443,60
1443,16
1443,211
1443,1
1445,303
1445,382
1445,383
1445,235
1446,55
1446,170
1446,56
1446,58
1446,30
1447,164
1447,237
1447,75
1447,53
1447,46
1448,101
1448,163
1448,170
1448,136
1448,20
1449,110
1449,149
1449,37
1449,164
1449,2
1449,62
1449,112
1450,14
1450,153
1450,54
1450,380
1450,8
1451,14
1451,89
1451,51
1451,107
1451,147
1451,100
1451,132
1451,19
1451,419
1452,202
1452,25
1452,4
1452,73
1452,123
1452,136
1452,43
1453,165
1453,54
1453,173
1453,174
1453,30
1454,153
1454,139
1454,42
1454,95
1454,79
1455,38
1455,100
1455,97
1455,137
1455,6
1456,74
1456,32
1456,14
1456,13
1456,1
1456,173
1456,59
1457,89
1457,13
1457,10
1457,52
1457,191
1457,75
1457,202
1459,55
1459,30
1459,93
1459,118
1459,98
1460,234
1460,108
1460,311
1460,58
1460,112
1461,153
1461,4
1461,73
1461,169
1461,165
1462,112
1462,103
1462,388
1462,389
1462,390
1463,163
1463,43
1463,166
1463,97
1463,117
1463,111
1463,25
1464,97
1464,73
1464,38
1464,178
1464,400
1466,1
1466,123
1466,211
1466,190
1466,144
1467,100
1467,13
1467,51
1467,240
1467,33
1467,122
1467,111
1468,166
1468,59
1468,30
1468,43
1468,49
1469,13
1469,6
1469,89
1469,393
1469,43
1470,157
1470,98
1470,75
1470,38
1470,29
1470,49
1470,43
1470,93
1470,283
1471,150
1471,16
1471,116
1471,95
1471,151
1472,73
1472,149
1472,178
1472,116
1472,139
1473,28
1473,122
1473,53
1473,59
1473,210
1475,49
1475,30
1475,28
1475,13
1475,167
1476,30
1476,19
1476,109
1476,14
1476,106
1476,4
1476,117
1477,169
1477,12
1477,25
1477,98
1477,37
1477,153
1477,73
1478,100
1478,109
1478,4
1478,31
1478,33
1478,51
1478,61
1479,109
1479,38
1479,41
1479,106
1479,31
1479,29
1479,138
1480,156
1480,8
1480,149
1480,117
1480,120
1481,142
1481,149
1481,92
1481,37
1481,38
1481,113
1481,194
1482,89
1482,13
1482,10
1482,52
1482,191
1482,33
1482,202
1483,37
1483,96
1483,38
1483,119
1483,3
1484,123
1484,55
1484,20
1484,56
1484,12
1485,62
1485,160
1485,73
1485,116
1485,88
1486,28
1486,35
1486,240
1486,4
1486,378
1487,21
1487,13
1487,100
1487,116
1487,98
1488,96
1488,24
1488,31
1488,244
1488,240
1489,4
1489,103
1489,11
1489,297
1489,116
1489,119
1489,148
1490,211
1490,191
1490,119
1490,41
1491,74
1491,58
1491,30
1491,289
1491,42
1492,1
1492,56
1492,50
1492,89
1492,58
1492,16
1492,120
1493,110
1493,74
1493,140
1493,149
1493,12
1494,18
1494,22
1494,5
1494,93
1494,17
1495,103
1495,15
1495,58
1495,74
1495,1
1495,196
1495,209
1496,180
1496,75
1496,211
1496,58
1496,32
1497,1
1497,33
1497,60
1497,50
1497,89
1498,73
1498,74
1498,19
1498,39
1498,119
1499,182
1499,12
1499,183
1499,184
1499,136
1499,16
1499,62
1500,300
1500,163
1500,52
1500,299
1500,17
1501,110
1501,13
1501,73
1501,4
1501,120
1502,105
1502,4
1502,173
1502,74
1502,146
1503,70
1503,215
1503,123
1503,137
1503,93
1504,149
1504,112
1504,148
1504,23
1504,89
1506,74
1506,244
1506,69
1506,97
1506,55
1507,51
1507,280
1507,25
1507,100
1507,155
1508,206
1508,21
1508,214
1508,29
1508,52
1508,215
1508,216
1509,179
1509,7
1509,25
1509,50
1509,88
1510,157
1510,53
1510,52
1510,289
1510,122
1511,109
1511,55
1511,53
1511,49
1511,62
1511,192
1511,118
1512,36
1512,16
1512,62
1512,122
1512,118
1513,206
1513,21
1513,214
1513,29
1513,52
1513,215
1513,216
1514,7
1514,50
1514,4
1514,89
1514,88
1515,73
1515,58
1515,97
1515,7
1516,96
1516,110
1516,56
1516,100
1516,58
1517,138
1517,100
1517,39
1517,50
1517,4
1517,41
1517,16
1518,92
1518,265
1518,93
1518,397
1518,32
1519,69
1519,62
1519,97
1519,6
1519,55
1520,108
1520,14
1520,115
1520,18
1520,59
1521,56
1521,325
1521,199
1521,94
1521,12
1522,140
1522,73
1522,54
1522,174
1522,3
1522,41
1522,32
1523,268
1523,8
1523,7
1523,10
1523,217
1524,9
1524,96
1524,7
1524,97
1524,115
1525,43
1525,44
1525,45
1525,46
1525,47
1525,48
1525,49
1526,77
1526,437
1526,425
1526,83
1526,438
1527,157
1527,107
1527,73
1527,18
1527,56
1528,100
1528,116
1528,113
1528,23
1528,32
1529,6
1529,24
1529,12
1529,8
1529,25
1529,26
1529,27
1530,163
1530,190
1530,172
1530,33
1530,6
1531,42
1531,20
1531,34
1531,32
1531,23
1531,35
1531,25
1532,116
1532,164
1532,112
1532,56
1532,4
1533,51
1533,95
1533,240
1533,61
1533,103
1534,1
1534,3
1534,22
1534,10
1534,23
1534,2
1534,16
1535,7
1535,13
1535,117
1535,95
1535,171
1536,101
1536,16
1536,14
1536,75
1536,170
1536,30
1536,136
1537,4
1537,31
1537,33
1537,51
1537,61
1537,111
1537,105
1538,169
1538,12
1538,25
1538,98
1538,37
1538,153
1538,73
1539,110
1539,142
1539,149
1539,92
1539,37
1539,113
1539,194
1540,109
1540,38
1540,41
1540,106
1540,179
1540,31
1540,4
1541,156
1541,8
1541,149
1541,117
1541,120
1542,109
1542,149
1542,37
1542,38
1542,3
1543,123
1543,55
1543,20
1543,56
1543,12
1544,89
1544,13
1544,10
1544,52
1544,191
1544,33
1544,202
1545,62
1545,119
1545,73
1545,56
1545,113
1545,41
1545,121
1546,96
1546,21
1546,244
1546,155
1546,240
1547,28
1547,35
1547,58
1547,378
1547,190
1548,21
1548,13
1548,291
1548,98
1548,140
1549,87
1549,56
1549,50
1549,10
1549,89
1549,58
1549,120
1550,211
1550,191
1550,119
1550,41
1551,4
1551,103
1551,11
1551,297
1551,116
1551,119
1551,148
1552,74
1552,58
1552,30
1552,289
1552,42
1553,103
1553,15
1553,58
1553,14
1553,34
1554,74
1554,140
1554,149
1554,116
1554,51
1555,18
1555,22
1555,171
1555,5
1555,17
1556,75
1556,211
1556,32
1556,86
1556,38
1556,29
1556,194
1557,1
1557,18
1557,101
1557,33
1557,60
1557,164
1557,50
1557,217
1557,89
1557,118
1557,32
1558,182
1558,184
1558,136
1558,165
1558,10
1558,16
1558,62
