A,B
119,93
119,137
119,140
119,119
119,50
119,21
120,156
120,8
120,149
120,117
120,120
121,206
121,35
121,38
121,72
121,74
122,109
122,149
122,37
122,38
122,3
123,123
123,55
123,20
123,56
123,12
124,39
124,29
124,59
124,138
124,113
125,28
125,160
125,89
125,136
125,207
126,169
126,208
126,37
126,7
126,23
126,12
126,56
127,183
127,177
127,116
127,199
127,97
128,87
128,1
128,56
128,50
128,10
128,58
128,120
129,58
129,74
129,1
129,14
129,34
129,196
129,209
130,19
130,58
130,59
130,93
130,210
131,10
131,38
131,110
131,30
131,2
132,75
132,211
132,32
132,86
132,38
132,29
132,194
133,157
133,212
133,8
133,36
133,108
133,14
133,38
133,56
133,88
133,52
133,192
133,23
133,42
134,12
134,183
134,184
134,136
134,165
134,10
134,16
135,14
135,75
135,112
135,120
135,30
136,110
136,13
136,73
136,1
136,61
137,180
137,55
137,75
137,53
137,50
137,29
137,103
137,213
137,30
137,16
137,93
138,105
138,122
138,18
138,1
138,74
139,163
139,75
139,1
139,167
139,16
140,166
140,14
140,18
140,12
140,173
141,206
141,21
141,214
141,29
141,52
141,215
141,216
142,180
142,20
142,95
142,31
142,122
143,75
143,73
143,26
143,199
143,95
144,153
144,4
144,73
144,169
144,165
144,96
144,136
146,8
146,112
146,10
146,1
146,28
147,165
147,43
147,155
147,97
147,117
147,111
147,25
149,28
149,1
149,33
149,123
149,190
151,142
151,156
151,6
151,56
151,52
151,59
151,89
152,39
152,22
152,52
152,217
152,5
152,62
152,160
153,29
153,106
153,58
153,165
154,157
154,89
154,41
154,101
154,52
156,157
156,73
156,169
156,38
156,56
157,180
157,218
157,74
157,38
157,20
157,113
157,31
158,74
158,219
158,220
158,221
158,222
159,6
159,173
159,115
159,39
159,223
160,6
160,166
160,174
160,123
160,97
161,99
161,224
161,225
161,226
161,227
162,73
162,33
162,26
162,4
162,61
163,30
163,19
163,109
163,14
163,106
163,4
163,117
164,198
164,197
164,106
164,11
164,162
165,190
165,69
165,50
165,10
165,89
166,55
166,175
166,96
166,57
166,30
167,21
167,12
167,25
167,96
167,4
167,61
167,122
168,108
168,22
168,170
168,58
168,5
168,228
168,229
169,160
169,33
169,10
169,25
169,42
169,190
169,169
170,180
170,14
170,116
170,56
170,113
170,42
170,62
172,230
172,231
172,232
172,233
172,131
172,234
172,235
172,236
172,43
174,36
174,98
174,74
174,56
174,88
174,58
174,30
175,107
175,108
175,60
175,27
175,237
176,107
176,8
176,149
176,101
176,95
177,101
177,43
177,238
177,75
177,147
178,19
178,37
178,217
178,92
178,2
179,142
179,156
179,86
179,56
179,52
179,5
179,89
180,6
180,21
180,25
180,178
180,179
180,3
180,101
181,55
181,43
181,51
181,52
181,28
183,147
183,1
183,50
183,38
183,136
183,75
183,32
184,100
184,97
184,137
184,7
184,138
186,74
186,32
186,13
186,1
186,106
187,204
187,8
187,73
187,92
187,239
188,28
188,53
188,89
188,92
188,58
189,14
189,70
189,19
189,88
189,31
190,25
190,14
190,75
190,52
190,100
191,139
191,27
191,73
191,100
191,8
192,204
192,205
192,7
192,95
192,171
193,108
193,1
193,3
193,22
193,10
193,23
193,2
194,1
194,74
194,203
194,119
194,56
194,41
194,120
195,28
195,29
195,18
195,51
195,13
195,19
195,17
195,20
195,21
196,51
196,95
196,240
196,61
196,103
197,42
197,20
197,34
197,32
197,23
197,35
197,25
198,116
198,164
198,112
198,56
198,4
199,32
199,52
199,241
199,118
199,10
199,19
199,196
199,113
199,139
200,103
200,166
200,14
200,62
200,153
201,157
201,107
201,73
201,18
201,56
201,4
201,29
201,115
201,120
202,60
202,123
202,111
202,56
202,41
203,41
203,111
203,197
203,173
203,198
204,137
204,4
204,74
204,41
204,170
204,138
204,11
205,138
205,18
205,74
205,75
205,22
205,52
205,2
205,194
205,89
206,139
206,60
206,88
206,10
206,196
207,28
207,17
207,152
207,51
207,170
207,19
207,75
207,21
207,101
207,50
207,30
208,8
208,116
208,153
208,169
208,55
208,25
208,39
209,86
209,38
209,97
209,29
209,194
210,43
210,155
210,96
210,137
210,163
211,138
211,175
211,18
211,39
211,50
211,4
211,16
212,110
212,108
212,98
212,55
212,193
212,19
212,30
212,122
212,118
213,28
213,19
213,53
213,29
213,49
213,192
213,118
214,190
214,18
214,58
214,114
214,242
215,87
215,166
215,98
215,58
215,122
216,163
216,75
216,1
216,167
216,16
217,43
217,117
217,96
217,137
217,163
218,105
218,122
218,18
218,1
218,74
219,110
219,13
219,1
219,4
219,61
220,98
220,14
220,75
220,30
220,194
221,212
221,8
221,36
221,108
221,38
221,56
221,88
221,52
221,192
221,42
221,115
221,93
221,32
222,149
222,92
222,37
222,38
222,112
223,110
223,74
223,140
223,149
223,12
224,38
224,171
224,120
224,93
224,243
225,87
225,1
225,50
225,10
225,89
225,16
225,120
226,211
226,191
226,119
226,41
227,58
227,123
227,50
227,139
228,24
228,31
228,244
228,155
228,240
229,39
229,29
229,59
229,138
229,113
230,123
230,55
230,20
230,56
230,12
231,157
231,73
231,101
231,119
231,3
232,206
232,35
232,38
232,72
232,74
233,109
233,38
233,41
233,106
233,31
233,29
233,138
234,8
234,149
234,33
234,3
234,120
235,100
235,109
235,4
235,31
235,61
235,111
235,105
236,30
236,19
236,109
236,14
236,106
236,4
236,117
237,13
237,33
237,26
237,4
237,61
238,36
238,28
238,99
238,245
238,75
238,14
238,50
239,180
239,218
239,74
239,38
239,20
239,113
239,31
240,1
240,7
240,246
240,16
240,157
241,6
241,173
241,115
241,39
241,223
242,23
242,138
242,55
242,15
242,59
242,112
242,96
243,74
243,219
243,220
243,221
243,222
244,180
244,157
244,37
244,38
244,20
244,113
244,31
245,157
245,73
245,169
245,38
245,56
246,247
246,248
246,44
246,249
246,250
246,251
246,252
246,127
246,253
247,157
247,32
247,101
247,52
247,42
248,5
248,53
248,254
249,153
249,50
249,61
249,89
249,190
249,53
249,198
250,242
250,29
250,55
250,106
251,109
251,103
251,10
251,139
251,138
252,142
252,156
252,86
252,6
252,56
252,52
252,5
253,28
253,74
253,26
253,38
253,3
253,58
253,30
254,93
254,165
254,198
256,255
256,14
256,123
256,211
256,49
257,55
257,18
257,60
257,13
257,119
257,50
257,38
258,14
258,18
258,96
258,32
258,93
259,74
259,108
259,164
259,50
259,23
260,73
260,195
260,100
260,116
260,4
261,256
261,61
261,111
261,31
261,138
262,25
262,14
262,75
262,52
262,100
263,14
263,70
263,19
263,88
263,31
264,28
264,53
264,89
264,92
264,58
266,74
266,241
266,58
266,257
266,258
267,38
267,100
267,97
267,137
267,6
268,147
268,1
268,50
268,38
268,136
268,75
268,32
270,6
270,21
270,25
270,178
270,179
270,3
270,101
271,39
271,29
271,59
271,138
271,113
272,28
272,89
272,147
272,49
272,51
272,18
272,259
272,260
272,261
272,251
272,262
273,107
273,108
273,60
273,27
273,237
274,24
274,16
274,114
274,50
274,263
276,56
276,138
276,106
276,8
276,6
278,87
278,149
278,55
278,100
278,112
278,50
278,30
279,21
279,12
279,25
279,96
279,4
279,61
279,122
280,115
280,16
280,264
280,55
280,96
281,73
281,43
281,34
281,54
281,29
282,28
282,165
282,54
282,89
282,62
283,14
283,18
283,96
283,32
283,93
284,25
284,98
284,38
284,30
284,99
285,55
285,18
285,132
285,265
285,91
286,77
286,79
286,46
286,81
286,82
286,83
286,85
286,266
286,267
287,138
287,104
287,268
287,8
287,7
288,140
288,8
288,75
288,38
288,174
288,41
288,32
289,43
289,69
289,70
289,71
289,72
290,137
290,4
290,74
290,41
290,170
290,138
290,11
291,35
291,55
291,57
291,58
291,30
292,108
292,35
292,101
292,53
292,52
292,115
292,89
292,31
292,160
293,43
293,44
293,45
293,46
293,47
293,48
293,49
294,42
294,33
294,15
294,34
294,32
294,35
294,25
295,51
295,37
295,116
295,56
295,4
296,75
296,30
296,16
296,170
296,101
296,138
296,109
296,52
296,34
297,138
297,108
297,1
297,22
297,23
297,2
297,16
298,43
298,14
298,89
298,100
298,132
299,24
299,1
299,14
299,15
299,17
300,4
300,6
300,7
300,8
300,9
300,10
300,11
301,19
301,93
301,97
301,177
301,4
302,138
302,1
302,2
302,3
302,89
303,8
303,139
303,55
303,93
303,137
303,140
303,119
303,50
303,21
304,42
304,141
304,30
304,142
304,6
305,110
305,142
305,92
305,38
305,112
305,113
305,194
306,169
306,12
306,25
306,98
306,37
306,153
306,73
307,13
307,136
307,137
307,153
307,30
307,55
307,138
308,133
308,38
308,62
308,134
308,135
309,138
309,205
309,112
309,13
309,148
309,110
309,20
310,124
310,71
310,26
310,7
310,32
311,33
311,30
311,1
311,55
311,50
311,105
311,51
311,139
311,109
312,20
312,122
312,9
312,61
312,123
313,62
313,160
313,116
313,88
313,121
314,87
314,119
314,50
314,59
314,120
315,28
315,53
315,89
315,92
315,58
316,94
316,114
316,115
316,116
316,117
317,36
317,92
317,38
317,112
317,113
318,166
318,111
318,75
318,60
318,34
318,31
318,93
319,87
319,37
319,16
319,38
319,110
319,58
319,30
320,56
320,106
320,75
320,116
320,20
320,61
320,196
321,110
321,73
321,74
321,39
321,3
322,187
322,29
322,211
322,43
322,28
322,232
322,269
322,260
322,233
322,65
322,132
323,1
323,33
323,60
323,50
323,89
324,41
324,14
324,106
324,109
324,29
325,180
325,14
325,184
325,20
325,196
325,62
325,115
326,35
326,26
326,96
326,3
326,61
327,103
327,30
327,41
327,119
327,14
328,270
328,271
328,272
328,273
328,46
328,274
328,275
328,276
328,277
328,278
328,279
329,100
329,30
329,190
329,138
329,170
329,238
329,191
330,51
330,280
330,25
330,100
330,155
331,165
331,169
331,54
331,16
331,35
332,4
332,92
332,3
332,58
332,164
333,165
333,163
333,43
333,166
333,155
333,97
333,25
334,18
334,74
334,98
334,164
334,29
334,62
334,120
335,37
335,101
335,119
335,95
335,3
336,14
336,1
336,38
336,101
336,4
338,159
338,79
338,46
338,281
338,83
338,84
338,282
339,75
339,20
339,32
339,41
339,16
339,105
339,17
340,93
340,24
340,165
340,198
340,114
341,98
341,38
341,49
341,93
341,283
342,61
342,140
342,148
342,106
342,74
343,87
343,1
343,164
343,119
343,113
344,28
344,122
344,53
344,59
344,210
345,150
345,16
345,116
345,95
345,151
346,108
346,105
346,89
346,148
346,100
347,153
347,24
347,7
347,154
347,107
347,155
347,95
348,1
348,7
348,109
348,16
348,89
348,55
348,157
350,138
350,28
350,100
350,38
350,19
350,284
350,59
350,115
350,105
350,32
350,31
351,30
351,38
351,285
351,187
351,144
351,286
351,191
352,111
352,38
352,13
352,170
352,163
353,106
353,74
353,197
353,162
353,11
354,140
354,106
354,8
354,1
354,55
354,23
354,181
355,180
355,14
355,117
355,116
355,20
355,42
355,62
356,89
356,33
356,287
356,2
356,190
357,50
357,288
357,120
357,32
357,228
358,179
358,139
358,55
358,101
358,3
