id,title,date,location
1395,DanceNet Kupa - Junior II C Standard 2022.12.03,2022.12.03,"Csömör, Major út 7-9"
1396,XVII. RexTerra Kupa Táncverseny - Szóló Junior E LAT 2023.11.12,2023.11.12,"Kiskunhalas, Kossuth utca 23"
1397,Hungarian Open - Senior I E LAT 2017.11.11,2017.11.11,Budapest
1398,XXI. Zánkai Táncfesztivál - Gyermek II E Standard 2015.08.25,2015.08.25,Zánka
1399,XVI. Kistelek Open - Junior II D LAT 2019.09.29,2019.09.29,Kistelek
1400,"E OB, U21 Tíztánc MB és Klubközi Verseny - OB Ifjúsági E LAT 2022.09.10",2022.09.10,"Csömör, Major út 7-9"
1401,-  0000.00.00,0000.00.00,
1402,MTÁSZ Pest-megyei Régió Bajnokság - TB Gyermek II D Standard 2018.03.03,2018.03.03,Csömör
1403,"B-A-S Országos Bajnokság, Senior Open Országos Bajnokság - OB Felnőtt S LAT 2016.12.10",2016.12.10,Békéscsaba
1404,Budapesti Területi Bajnokság - TB Junior II E Standard 2019.03.02,2019.03.02,Csömör
1405,Balaton Summer Táncverseny - Senior III E LAT 2023.08.10,2023.08.10,"Marcali, Park utca 16"
1406,"Felnőtt-Ifjúsági Standard, Junior Tíztánc, Senior Standard, Profi Latin RL - Junior I E Standard 2023.12.09",2023.12.09,SC Csongrád Sághy Mihály Technikum
1407,VII. Danza Kupa - Ifjúsági C Standard 2017.03.19,2017.03.19,Budapest
1408,XIII. Ametiszt Kupa - Felnőtt C Standard 2017.12.03,2017.12.03,Kaposvár
1409,"ISIS DANCE OPEN-Felnőtt-Ifjúsági-Senior Tíztánc, Junior Standard,  Professional Latin - Ranglista Professzionista Felnõtt  LAT 2019.10.19",2019.10.19,"Szombathely, AGORA Művelődési és Sportház"
1410,Bem kupa - Felnőtt D Standard 2016.12.04,2016.12.04,Mogyoród
1411,"Szigo Kupa- Felnőtt-Ifjúsági Tíztánc, Junior Latin és Senior Standard Ranglista- és Klubközi Verseny - Junior II E Standard 2015.05.30",2015.05.30,Komló
1412,XIII. Hatvan Kupa - Junior I D LAT 2021.08.28,2021.08.28,"3000. Hatvan, Balassi Bálint út 2"
1413,Kelet-Magyarország Területi Bajnokság - Szóló Junior I. Közép-Haladó LAT 2023.02.25,2023.02.25,"4060 Balmazújváros, Kastélykert utca 3"
1414,"Lászlóvill Kupa Felnőtt-Ifjúsági Latin, Junior Tíztánc, Senior Latin és Professzionista Standard Ranglista és Klubközi Táncverseny - Felnőtt D Standard 2018.03.24",2018.03.24,Székesfehérvár
1415,"Felnőtt-Ifjúsági Tíztánc, Junior Standard, Senior Tíztánc és Professzinális Latin Ranglistaverseny, E Hattánc és D Nyolctánc Országos Bajnokság és Klubközi táncverseny - RL Professzionista Felnőtt LAT 2019.02.23",2019.02.23,Hajdúnánás
1416,"E Országos Bajnokság, U21 10 Tánc Magyar Bajnokság - Junior II D Standard 2023.09.09",2023.09.09,"Csömör, Major út 7-9."
1417,Szigo Kupa - Ifjúsági B LAT 2021.06.12,2021.06.12,"Siklós, Gyűdi út 2"
1418,"SZIGO Kupa Felnőtt-Ifjúsági Tíztánc, Junior Latin Ranglista, Professzionista Latin Ranglistaverseny - Felnőtt D LAT 2017.03.25",2017.03.25,Szentlőrinc
1419,XII. Kistelek Open - Gyermek II D LAT 2015.09.19,2015.09.19,Kistelek
1420,"Felnőtt-Ifjúsági-Senior standard,Junior tíztánc,Profi latin ranglista, Klubközi táncverseny - Junior I D LAT 2022.09.24",2022.09.24,6640 Csongrád Gyöngyvirág utca 16
1421,"Felnőtt-Ifjúsági Tíztánc, Junior Latin, Senior Standard Ranglista és Klubközi Verseny - Ifjúsági ""C"" Standard 2014.05.17",2014.05.17,Hajdúböszörmény
1422,"E OB, U21 10 Tánc MB és Klubközi Verseny - OB Senior IV E LAT 2024.09.07",2024.09.07,"Csömöri Sportcsarnok 2141. Csömör, Major út 7-9"
1423,VIII. Eraklin Kupa Klubközi és Cséplő Dániel Emlékkupa Szabadidős Táncverseny - Ifjúsági C Standard 2018.11.11,2018.11.11,Nagykanizsa
1424,Kelet-Magyarország Területi Bajnokság - TB Felnőtt B LAT 2016.03.12,2016.03.12,Nyíradony
1425,"Közép-Magyarország TerületiBajnokság, Kerekesszékes MB -  Senior IV Open Standard 2020.03.07",2020.03.07,"2141.Csömör, Major út 7-9"
1426,XIII. Kistelek Open - Felnőtt D Standard 2016.09.24,2016.09.24,Kistelek
1427,"C Országos Bajnokság, U21 Standard és Latin Magyar Bajnokság és Klubközi Verseny - Junior I E LAT 2015.11.14",2015.11.14,Nyíradony
1428,Botafogo Kupa - C Országos Bajnokság - OB Senior II C Standard 2021.11.20,2021.11.20,Üllői Sport és Szabadidő Központ
1429,Szőke Tisza 2018. Klubközi Táncverseny - Junior II D Standard 2018.06.16,2018.06.16,Szeged
1430,TáncSport Magyar Bajnokságok klubközi versenyei - Senior I C LAT 2024.03.24,2024.03.24,"Ludovika Aréna, 1089 Diószegi Sámuel u 25"
1431,SAVARIA Nemzetközi Táncverseny - Junior I E LAT 2024.12.15,2024.12.15,"9700 Szombathely, Rohonci út 3"
1432,"iDanceKupa2016 - Felnőtt-Ifjúsági Tíztánc, Junior Latin Ranglista, Professzionista Latin Ranglistaverseny - Gyermek II E LAT 2016.03.19",2016.03.19,Pécs
1433,"Felnőtt-Ifi latin, Junior standard, Senior latin, Profi standard - Felnőtt B LAT 2022.04.24",2022.04.24,"9700, Március 15. tér 5"
1434,Szigo Kupa - Junior I C Standard 2023.04.01,2023.04.01,"Siklós, Gyűdi út 2"
1435,Szabadidősport Kelet Magyarország Területi Bajnoksága - Gyerek 0. Rumba 2014.10.11,2014.10.11,Mezőberény
1436,"IX. Kner Kupa - Felnőtt-Ifjúsági Latin, Junior Standard Ranglista Professzionista Standard Ranglista és klubközi táncverseny - Ifjúsági C Standard 2016.04.09",2016.04.09,Mezőtúr
1437,"Botafogo Kupa, U21 STT, LAT és  Kűr Magyar Bajnokságok - Ifjúsági D Standard 2024.04.28",2024.04.28,"1213 Budapest, Hollandi út 8"
1438,XIV. Ametiszt Kupa - Junior II C STT 2019.11.23,2019.11.23,7400 Kaposvár Arany János út 97
1439,Nyugat- Magyarország Területi Bajnokság - Junior II B LAT 2021.03.06,2021.03.06,7400 Kaposvár Arany János út 97
1440,XIII. FEKETE SAS KUPA - Gyermek-Junior-Ifjúsági kezdő latin szóló 2018.11.18,2018.11.18,Hódmezővásárhely
1441,"VILÁGTÁNCFESZTIVÁL - FELNŐTT-IFJÚSÁGI LATIN, JUNIOR STANDARD, SENIOR LATIN, PROFESSZIONISTA STANDARD RANGLISTAVERSENY, KLUBKÖZI TÁNCVERSENYEK - Gyermek II D LAT 2018.05.05",2018.05.05,Budapest
1442,"E Hattánc Országos Bajnokság, D Nyolctánc Országos Bajnokság - OB Felnőtt D 8T 2016.03.06",2016.03.06,Komló
1443,Tíztánc MB. Nyolctánc MB. - MB Gyermek 8T 2019.02.09,2019.02.09,Szentes
1444,-  0000.00.00,0000.00.00,
1445,"XV. Kistelek Open, Felnőtt-Ifjúsági Tíztánc, Junior Latin Ranglista és Klubközi Verseny - Ifjúsági D LAT 2018.09.23",2018.09.23,Kistelek
1446,"XIII. Eraklin Kupa- D Országos Bajnokság, Cséplő Dániel Emlékkupa - Junior I C LAT 2024.10.05",2024.10.05,"8800 Nagykanizsa, Táborhely u. 4"
1447,Szőke Tisza 2022 - Gyermek II E STT 2022.06.12,2022.06.12,Szeged. Városi Sportcsarnok
1448,I. Nyíri Lajos Emlékverseny és U21 Tíztánc Magyar Bajnokság - Gyermek II E LAT 2016.12.11,2016.12.11,Békéscsaba
1449,Nyugat-Magyarország Területi Bajnokság - Szóló Felnőtt E LAT 2024.03.02,2024.03.02,Kaposvár Aréna 7400 Kaposvár Arany János utca 97
1450,9. Danza Kupa Újpest - Junior I C LAT 2017.10.15,2017.10.15,Budapest
1451,"Pro-Art Kistelek Kupa, Felnőtt Ifjúsági Latin, Junior Tíztánc, Senior Latin, Profi Standard Ranglista - Ifjúsági C LAT 2019.03.09",2019.03.09,Kistelek
1452,Lászlóvill Kupa - Felnőtt-Ifjúsági LAT Ranglista 2015.04.18,2015.04.18,Székesfehérvár
1453,XII Ametiszt Kupa - Felnőtt C LAT 2016.10.16,2016.10.16,Kaposvár
1454,Hungarian Open - Felnőtt E Standard 2017.11.11,2017.11.11,Budapest
1455,IX. Hatvan Kupa - Gyermek II D LAT 2017.05.06,2017.05.06,Hatvan
1456,"E Hattánc Országos Bajnokság, D Nyolctánc Országos Bajnokság - Felnőtt E 6T - ORSZÁGOS BAJNOKSÁG 2018.02.17",2018.02.17,Kozármisleny
1457,"VIII. FORMA KUPA C Osztályos Országos Bajnokság - Ifjúsági ""C"" LAT OB 2014.12.06",2014.12.06,Algyő
1458,30. Bem kupa 2 - F-D-LAT 2019.05.12,2019.05.12,Budapest
1459,"Tíztánc-, Nyolctánc Magyar Bajnokságok - Szóló Ifjúsági E LAT 2025.03.08",2025.03.08,Kiskunmajsa Aréna
1460,SAVARIA Táncverseny - Gyermek II E LAT 2023.09.24,2023.09.24,"9700 Szombathely, Március 15. tér 5"
1461,11. Danza Kupa - Junior II B LAT 2019.04.06,2019.04.06,Budapest
1462,"ISIS DANCE OPEN: Felnőtt-Ifjúsági Tíztánc ranglista, Junior Standard ranglista - Junior I. Haladó Standard 2015.10.17",2015.10.17,Szombathely
1463,Kelet-Magyarország Területi Bajnokság - TB Ifjúsági B Standard 2017.03.18,2017.03.18,Szentes
1464,Budapest Open - Junior I E LAT 2018.02.18,2018.02.18,Budapest
1465,XI. Hatvan Kupa - JN2-C-LAT 2019.06.02,2019.06.02,"3000. Hatvan, Balassi Bálint út 2."
1466,Euroline Kupa Országos Ranglista Táncverseny - Gyermek II E LAT 2015.03.14,2015.03.14,Szolnok
1467,MTÁSZ E Országos Bajnokság és Klubközi Verseny - OB Senior III E Standard 2016.10.01,2016.10.01,Csömör
1468,"Felnőtt-Ifjúsági Latin, Junior Standard Ranglista , Senior Latin Ranglista - Ifjúsági-Felnőtt B Standard 2017.05.14",2017.05.14,Debrecen
1469,XIV. Fekete Sas Kupa - Ifjúsági C STT 2019.11.10,2019.11.10,"6800. Hódmezővásárhely, Kossuth tér 3."
1470,"U21 STANDARD MB,U21 LATIN MB és Kűr MB - MB U21  LAT 2021.05.15",2021.05.15,6760 Kistelek Kossuth u. 5-7
1471,"II. Danza Kupa - Felnőtt ""B"" LAT 2014.10.11",2014.10.11,Budapest
1472,XIV. Ritmo Kupa Klubközi és Szabadidős Táncverseny - Junior I E Standard 2018.09.29,2018.09.29,Pécs
1473,"SZIGO Kupa Felnőtt-Ifjúsági Tíztánc, Junior Latin, Senior Standard Ranglista és Klubközi Táncverseny - Ifjúsági B LAT 2016.05.21",2016.05.21,Szentlőrinc
1474,Kelet-Magyarország Területi Bajnokság - TB Senior III C LAT 2020.03.07,2020.03.07,Algyői Fehér Ignác Általános Iskola Sportcsarnoka
1475,"VI. Kner Kupa C és B Tíztánc OB és Klubközi Táncverseny - Ifjúsági ""B"" LAT 2014.04.05",2014.04.05,Mezőtúr
1476,Nyugat-Magyarország Területi Bajnokság - TB Junior I E LAT 2016.03.12,2016.03.12,Kaposmérő
1477,-  0000.00.00,0000.00.00,
1478,Nyugat- Magyarország Területi Bajnokság - TB Gyermek II D Standard 2018.03.03,2018.03.03,Kaposvár
1479,Nyugat- Magyarország Területi Bajnokság - TB Felnőtt C LAT 2019.03.02,2019.03.02,Kaposvár
1480,Balaton Summer Táncverseny - Junior II E Standard 2023.08.11,2023.08.11,"Marcali, Park utca 16"
1481,Nyugat-Magyarország TB - TB Gyermek II D Standard 2025.03.01,2025.03.01,7400 Kaposvár Aréna Arany János utca 97
1482,VIII. FORMA KUPA C Osztályos Országos Bajnokság - Ifjúsági-Felnőtt Szabadidősport LAT 2014.12.06,2014.12.06,Algyő
1483,Balaton Summer Táncverseny - Senior I E Standard 2022.08.14,2022.08.14,"8700 Marcali, Park utca 16"
1484,"VII. Forma Kupa - Gyerek II. ""D"" Standard 2014.04.12",2014.04.12,Algyő
1485,XVII. RexTerra Kupa Táncverseny - Felnőtt D Standard 2023.11.12,2023.11.12,"Kiskunhalas, Kossuth utca 23"
1486,"IV. FULLDANCE KUPA ORSZÁGOS IFJÚSÁGI-FELNŐTT LATIN, JUNIOR STANDARD ÉS PROFESSZIONISTA STANDARD RANGLISTAVERSENY ÉS KLUBKÖZI TÁNCVERSENY - Felnőtt C Standard 2017.04.08",2017.04.08,Tápiószentmárton
1487,30. Bem kupa - Ifjúsági D LAT 2019.05.12,2019.05.12,Budapest
1488,27. Bem kupa - Ifjúsági D Standard 2017.11.18,2017.11.18,Mogyoród
1489,IX. Eraklin Kupa Klubközi Táncverseny - Junior II D LAT 2019.11.03,2019.11.03,Nagykanizsa SZC Zsigmondy Vilmos Szakképző Iskoláj
1490,iDanceKupa 2015 - Ifjúsági C LAT 2015.05.09,2015.05.09,Pécs
1491,Lászlóvill Kupa - Junior I E LAT 2021.06.19,2021.06.19,"Székesfehérvár, Verseci u. 1-15"
1492,"I. Szoldance Kupa -Hattánc, Nyolctánc Országos Bajnokság és Klubközi Táncverseny - Junior I E Standard 2023.02.11",2023.02.11,"5000 Szolnok, Tiszaligeti sétány 2"
1493,28. Bem kupa - Ifjúsági E Standard 2018.05.27,2018.05.27,Mogyoród
1494,XXII. Lászlóvill Kupa - Junior II C LAT 2024.04.13,2024.04.13,Wekerle Sándor Szabadidőközpont Mór
1495,12. Danza Kupa - Junior II D Nyolctánc 2020.03.01,2020.03.01,"1044 Budapest, Megyeri út 6"
1496,B-A-S és Senior Open Országos Bajnokság és Klubközi Táncverseny - Junior I D Standard 2024.11.30,2024.11.30,"4060 Balmazújváros, Kastélykert utca 3"
1497,"Tíztánc MB, Nyolctánc MB - Forma kupa - Felnőtt E Standard 2022.03.19",2022.03.19,Algyői Fehér Ignác Általánmos Iskola Tornacsarnok
1498,XV. Hatvan Kupa - Ifjúsági C LAT 2023.05.27,2023.05.27,"3000. Hatvan, Balassi Bálint út 2"
1499,Kelet-Magyarország Területi Bajnokság - Felnőtt - D Standard 2014.02.22,2014.02.22,Nyíradony
1500,"II. Pro-Art Grand Prix U21 Standard MB - Ifjúsági ""C"" Standard 2014.09.13",2014.09.13,Kistelek
1501,Balaton Summer Táncverseny - Szóló Junior II. D LAT 2024.08.09,2024.08.09,"8700 Marcali, Park utca 16"
1502,"ISIS DANCE OPEN-Felnőtt-Ifjúsági Tíztánc, Junior Standard, Senior 10 Tánc, Professional Latin ranglista - Gyermek II C Standard 2018.10.27",2018.10.27,Szombathely
1503,C és B Tíztánc Országos Bajnokság és Klubközi Táncverseny - Junior I D Standard 2016.04.02,2016.04.02,Szekszárd
1504,XV. Fekete Sas kupa - Ifjúsági E LAT 2020.10.31,2020.10.31,"6800 Hódmezővásárhely, Kossuth tér 3"
1505,-  0000.00.00,0000.00.00,
1506,II. C&M KUPA - Junior I D Standard 2017.10.08,2017.10.08,Siófok
1507,24. Bem kupa - Felnőtt B LAT 2015.12.06,2015.12.06,Budapest
1508,Kelet-Magyarország Területi Bajnokság - TB Felnőtt E LAT 2015.03.07,2015.03.07,Nyíradony
1509,XVI. FEKETE SAS KUPA - Felnőtt D Standard 2021.11.06,2021.11.06,"6800 HÓDMEZŐVÁSÁRHELY, KOSSUTH TÉR 3"
1510,"Felnőtt-Ifjúsági standard, Junior latin, Senior standard RL, C OB és Klubközi Táncverseny - Felnőtt D LAT 2020.11.08",2020.11.08,"4029 Debrecen,Monti ezredes u. 3"
1511,"Felnőtt-Ifi latin, Junior standard, Senior latin, Profi standard - Junior II E LAT 2022.04.24",2022.04.24,"9700, Március 15. tér 5"
1512,"TáncSport Magyar Bajnokság, C és B Tíztánc Országos Bajnokság - Szóló Junior E LAT 2023.04.15",2023.04.15,"1213 Budapest, Hollandi út 8"
1513,Kelet-Magyarország Területi Bajnokság - TB Senior II C LAT 2015.03.07,2015.03.07,Nyíradony
1514,XVI. FEKETE SAS KUPA - Junior II E LAT 2021.11.06,2021.11.06,"6800 HÓDMEZŐVÁSÁRHELY, KOSSUTH TÉR 3"
1515,XXII. ZÁNKAI TÁNCFESZTIVÁL - Ifjúsági D LAT 2016.08.27,2016.08.27,Zánka
1516,XXIV.Zánkai Táncfesztivál - Ifjúsági E Standard 2018.08.18,2018.08.18,Zánka
1517,Közép-Magyarország Területi Bajnokság - Szóló Ifjúsági E Standard 2024.03.03,2024.03.03,"Csömör, Major út 7-9"
1518,SAVARIA Nemzetközi Táncverseny - Junior I E LAT 2024.12.14,2024.12.14,"9700 Szombathely, Rohonci út 3"
1519,II. C&M KUPA - Felnőtt E Standard 2017.10.08,2017.10.08,Siófok
1520,"Nyolctánc, Tíztánc Magyar Bajnokság - Junior II D LAT 2024.04.20",2024.04.20,"9700 Szombathely, Március 15 tér 5"
1521,XXXVI. DanceNet Kupa - Junior I-II E LAT 2015.11.08,2015.11.08,Csömör
1522,Botafogo Kupa - C Országos Bajnokság - Felnőtt B Standard 2021.11.20,2021.11.20,Üllői Sport és Szabadidő Központ
1523,35. Bem kupa - Felnőtt B LAT 2024.09.28,2024.09.28,"Zrínyi Miklós Gimnázium Budapest, Mádi u. 173"
1524,III. C&M Kupa - Felnőtt D Standard 2018.10.28,2018.10.28,Siófok
1525,XII. Kistelek Open - Felnőtt B LAT 2015.09.19,2015.09.19,Kistelek
1526,Szoke Tisza 2019. Klubközi Nemzetközi Táncverseny - Felnőtt E LAT 2019.06.15,2019.06.15,Szeged
1527,XXIII. Gála Kupa Táncverseny és ParaDance Magyar Bajnokság - Junior I E Standard 2022.10.02,2022.10.02,8900 Zalaegerszeg Stadion u 3
1528,"Senior-Felnőtt-Ifjúsági Tíztánc, Profi Latin Ranglista és Klubközi Táncverseny - Felnőtt E LAT 2023.02.18",2023.02.18,Hódmezővásárhelyi SZC Csongrádi Sághy Mihály Techn
1529,II. Tavaszváró Táncverseny - Felnőtt C Standard 2018.04.07,2018.04.07,Nyíregyháza
1530,XI. FEKETE SAS KUPA - Ifjúsági B LAT 2016.11.20,2016.11.20,Hódmezővásárhely
1531,Kelet Magyarország Területi Bajnokság - TB Ifjúsági C LAT 2019.03.02,2019.03.02,Kunszentmárton
1532,Balaton Summer Táncverseny - Felnőtt E LAT 2023.08.13,2023.08.13,"Marcali, Park utca 16"
1533,23. Bem Kupa - Junior II E LAT 2015.05.17,2015.05.17,Budapest
1534,Kelet-Magyarország Területi Bajnokság - TB Gyermek I E Standard 2023.02.25,2023.02.25,"4060 Balmazújváros, Kastélykert utca 3"
1535,DanceNet Kupa - Junior II E Standard 2023.12.17,2023.12.17,"Csömör, Major út 7-9"
1536,"B-A-S Országos Bajnokság, Senior Open Országos Bajnokság - OB Ifjúsági A LAT 2017.12.02",2017.12.02,Békéscsaba
1537,Nyugat- Magyarország Területi Bajnokság - TB Gyermek II E LAT 2018.03.03,2018.03.03,Kaposvár
1538,-  0000.00.00,0000.00.00,
1539,Nyugat-Magyarország TB - TB Gyermek II D LAT 2025.03.01,2025.03.01,7400 Kaposvár Aréna Arany János utca 97
1540,Nyugat- Magyarország Területi Bajnokság - TB Felnőtt C Standard 2019.03.02,2019.03.02,Kaposvár
1541,Balaton Summer Táncverseny - Junior II E LAT 2023.08.11,2023.08.11,"Marcali, Park utca 16"
1542,Balaton Summer Táncverseny - Senior I E LAT 2022.08.14,2022.08.14,"8700 Marcali, Park utca 16"
1543,"VII. Forma Kupa - Gyerek II. ""D"" LAT 2014.04.12",2014.04.12,Algyő
1544,VIII. FORMA KUPA C Osztályos Országos Bajnokság - Junior Szabadidősport LAT 2014.12.06,2014.12.06,Algyő
1545,XVII. RexTerra Kupa Táncverseny - Felnőtt D LAT 2023.11.12,2023.11.12,"Kiskunhalas, Kossuth utca 23"
1546,27. Bem kupa - Ifjúsági E LAT 2017.11.18,2017.11.18,Mogyoród
1547,"IV. FULLDANCE KUPA ORSZÁGOS IFJÚSÁGI-FELNŐTT LATIN, JUNIOR STANDARD ÉS PROFESSZIONISTA STANDARD RANGLISTAVERSENY ÉS KLUBKÖZI TÁNCVERSENY - Felnőtt C LAT 2017.04.08",2017.04.08,Tápiószentmárton
1548,30. Bem kupa - Ifjúsági C Standard 2019.05.12,2019.05.12,Budapest
1549,"I. Szoldance Kupa -Hattánc, Nyolctánc Országos Bajnokság és Klubközi Táncverseny - OB Junior I E Hattánc 2023.02.11",2023.02.11,"5000 Szolnok, Tiszaligeti sétány 2"
1550,iDanceKupa 2015 - Ifjúsági C Standard 2015.05.09,2015.05.09,Pécs
1551,IX. Eraklin Kupa Klubközi Táncverseny - Junior II D Standard 2019.11.03,2019.11.03,Nagykanizsa SZC Zsigmondy Vilmos Szakképző Iskoláj
1552,Lászlóvill Kupa - Junior I E Standard 2021.06.19,2021.06.19,"Székesfehérvár, Verseci u. 1-15"
1553,12. Danza Kupa - Junior II C LAT 2020.03.01,2020.03.01,"1044 Budapest, Megyeri út 6"
1554,28. Bem kupa - Ifjúsági E LAT 2018.05.27,2018.05.27,Mogyoród
1555,XXII. Lászlóvill Kupa - Junior II D LAT 2024.04.13,2024.04.13,Wekerle Sándor Szabadidőközpont Mór
1556,B-A-S és Senior Open Országos Bajnokság és Klubközi Táncverseny - OB Junior II B LAT 2024.11.30,2024.11.30,"4060 Balmazújváros, Kastélykert utca 3"
1557,"Tíztánc MB, Nyolctánc MB - Forma kupa - MB Felnőtt  Tíztánc 2022.03.19",2022.03.19,Algyői Fehér Ignác Általánmos Iskola Tornacsarnok
1558,Kelet-Magyarország Területi Bajnokság - Felnőtt - D LAT 2014.02.22,2014.02.22,Nyíradony
1559,XV. Hatvan Kupa - Ifjúsági C Standard 2023.05.27,2023.05.27,"3000. Hatvan, Balassi Bálint út 2"
1560,Balaton Summer Táncverseny - Szóló Junior II. E LAT 2024.08.09,2024.08.09,"8700 Marcali, Park utca 16"
1561,C és B Tíztánc Országos Bajnokság és Klubközi Táncverseny - Junior I E LAT 2016.04.02,2016.04.02,Szekszárd
1562,XV. Fekete Sas kupa - Ifjúsági D Standard 2020.10.31,2020.10.31,"6800 Hódmezővásárhely, Kossuth tér 3"
1563,"ISIS DANCE OPEN-Felnőtt-Ifjúsági Tíztánc, Junior Standard, Senior 10 Tánc, Professional Latin ranglista - Gyermek II C LAT 2018.10.27",2018.10.27,Szombathely
